Simulation number,DPW_ALPHA,DPW_EXPLORATION,MAX_ITERATION,run_time,EARLY_STOP,ALGORITHM,EXPLORATION_CONSTANT,OPTIMAL_ACTION_POLICY,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
3653901,0.3,3,100,4,True,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,117095,0,117095
3653902,0,0,100,6,True,NAIVE,15000,MIN_REWARD,0.9998,114769,0,114769
3793302,0.2,3,1000,14,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,116795,0,116795
3793304,0.3,3,1000,7,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,113317,0,113317
3793306,0.2,3,1000,5,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,115804,0,115804
3793308,0.3,3,1000,7,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,117543,0,117543
3793310,0.2,3,1000,5,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,117405,0,117405
3793312,0.3,3,1000,7,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,115703,0,115703
3793314,0.2,3,1000,5,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,116733,0,116733
3793316,0.3,3,1000,7,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,116022,0,116022
3793318,0.2,3,2000,11,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,115429,0,115429
3793320,0.3,3,2000,16,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,115810,0,115810
3793322,0.2,3,2000,11,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,116209,0,116209
3793324,0.3,3,2000,16,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,114587,0,114587
3793326,0.2,3,2000,12,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,114034,0,114034
3793328,0.3,3,2000,16,False,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,115394,0,115394
3793330,0.2,3,2000,12,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,119857,0,119857
3793332,0.3,3,2000,17,False,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,115191,0,115191
3793334,0.2,3,1000,6,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,115771,0,115771
3793336,0.3,3,1000,8,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,114040,0,114040
3793338,0.2,3,1000,5,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,115967,0,115967
3793340,0.3,3,1000,8,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,115327,0,115327
3793342,0.2,3,1000,5,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,115515,0,115515
3793344,0.3,3,1000,8,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,115123,0,115123
3793346,0.2,3,1000,5,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,116380,0,116380
3793348,0.3,3,1000,8,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,115091,0,115091
3793350,0.2,3,2000,42,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,117621,0,117621
3793352,0.3,3,2000,54,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,115422,0,115422
3793354,0.2,3,2000,27,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,115977,0,115977
3793356,0.3,3,2000,40,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,113938,0,113938
3793358,0.2,3,2000,21,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,115256,0,115256
3793360,0.3,3,2000,22,False,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,114937,0,114937
3793362,0.2,3,2000,17,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,113986,0,113986
3793364,0.3,3,2000,24,False,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,114936,0,114936
3793366,0.2,3,1000,8,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,113221,0,113221
3793368,0.3,3,1000,12,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,112984,0,112984
3793370,0.2,3,1000,10,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.9998,115616,0,115616
3793372,0.3,3,1000,13,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.9998,115230,0,115230
3793374,0.2,3,1000,7,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.995,114066,0,114066
3793376,0.3,3,1000,10,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.995,114426,0,114426
3793378,0.2,3,1000,8,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.995,117309,0,117309
3793380,0.3,3,1000,10,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.995,112272,0,112272
3793382,0.2,3,2000,17,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,116173,0,116173
3793384,0.3,3,2000,24,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,112639,0,112639
3793386,0.2,3,2000,17,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.9998,114870,0,114870
3793388,0.3,3,2000,21,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.9998,111765,0,111765
3793390,0.2,3,2000,16,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.995,118447,0,118447
3793392,0.3,3,2000,23,False,ProgressiveWideningSolver,15000,MIN_REWARD,0.995,116312,0,116312
3793394,0.2,3,2000,18,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.995,115971,0,115971
3793396,0.3,3,2000,29,False,ProgressiveWideningSolver,15000,MOST_VISITED,0.995,112684,0,112684
3793398,0.2,3,1000,10,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,114256,0,114256
3793400,0.3,3,1000,13,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,115039,0,115039
3793402,0.2,3,1000,9,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,120651,0,120651
3793404,0.3,3,1000,12,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,115087,0,115087
3793406,0.2,3,1000,9,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,117085,0,117085
3793408,0.3,3,1000,13,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,114568,0,114568
3793410,0.2,3,1000,10,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,117358,0,117358
3793412,0.3,3,1000,18,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,115263,0,115263
3793414,0.2,3,2000,26,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,115744,0,115744
3793416,0.3,3,2000,32,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.9998,114190,0,114190
3793418,0.2,3,2000,19,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,116426,0,116426
3793420,0.3,3,2000,25,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.9998,112897,0,112897
3793422,0.2,3,2000,18,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,117071,0,117071
3793424,0.3,3,2000,24,True,ProgressiveWideningSolver,8000,MIN_REWARD,0.995,112432,0,112432
3793426,0.2,3,2000,15,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,116539,0,116539
3793428,0.3,3,2000,18,True,ProgressiveWideningSolver,8000,MOST_VISITED,0.995,118137,0,118137
3793430,0.2,3,1000,6,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,116944,0,116944
3793432,0.3,3,1000,9,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,114226,0,114226
3793434,0.2,3,1000,6,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,116689,0,116689
3793436,0.3,3,1000,9,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,115276,0,115276
3793438,0.2,3,1000,6,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,116184,0,116184
3793440,0.3,3,1000,8,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,113809,0,113809
3793442,0.2,3,1000,6,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,116375,0,116375
3793444,0.3,3,1000,8,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,112267,0,112267
3793446,0.2,3,2000,13,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,113624,0,113624
3793448,0.3,3,2000,17,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.9998,114041,0,114041
3793450,0.2,3,2000,13,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,118832,0,118832
3793452,0.3,3,2000,18,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.9998,111389,0,111389
3793454,0.2,3,2000,14,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,114155,0,114155
3793456,0.3,3,2000,19,True,ProgressiveWideningSolver,12000,MIN_REWARD,0.995,114417,0,114417
3793458,0.2,3,2000,14,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,117256,0,117256
3793460,0.3,3,2000,18,True,ProgressiveWideningSolver,12000,MOST_VISITED,0.995,113952,0,113952
3793462,0.2,3,1000,5,True,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,113745,0,113745
3793464,0.3,3,1000,8,True,ProgressiveWideningSolver,15000,MIN_REWARD,0.9998,114671,0,114671
3793466,0.2,3,1000,5,True,ProgressiveWideningSolver,15000,MOST_VISITED,0.9998,112309,0,112309
3793468,0.3,3,1000,8,True,ProgressiveWideningSolver,15000,MOST_VISITED,0.9998,111818,0,111818
3793470,0.2,3,1000,6,True,ProgressiveWideningSolver,15000,MIN_REWARD,0.995,118783,0,118783
3793472,0.3,3,1000,8,True,ProgressiveWideningSolver,15000,MIN_REWARD,0.995,113384,0,113384
3793474,0.2,3,1000,6,True,ProgressiveWideningSolver,15000,MOST_VISITED,0.995,116301,0,116301
3793476,0.3,3,1000,8,True,ProgressiveWideningSolver,15000,MOST_VISITED,0.995,114652,0,114652
