Simulation number,DPW_ALPHA,MAX_ITERATION,run_time,FORCE_0_FUEL,EXPLORATION_CONSTANT,OPTIMAL_ACTION_POLICY,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
9773602,0.2,1000,29,False,80000,MIN_REWARD,0.9998,1324795,0,1324795
9773604,0.3,1000,40,False,80000,MIN_REWARD,0.9998,1254933,0,1254933
9773606,0.2,1000,32,False,80000,MOST_VISITED,0.9998,1344176,0,1344176
9773608,0.3,1000,43,False,80000,MOST_VISITED,0.9998,1302865,0,1302865
9773610,0.2,1000,24,True,80000,MIN_REWARD,0.9998,1236543,0,1236543
9773612,0.3,1000,33,True,80000,MIN_REWARD,0.9998,1120218,0,1120218
9773614,0.2,1000,24,True,80000,MOST_VISITED,0.9998,1188899,0,1188899
9773616,0.3,1000,32,True,80000,MOST_VISITED,0.9998,1205998,0,1205998
9773618,0.2,1000,33,False,80000,MIN_REWARD,0.9992,1309269,0,1309269
9773620,0.3,1000,56,False,80000,MIN_REWARD,0.9992,1278012,0,1278012
9773622,0.2,1000,44,False,80000,MOST_VISITED,0.9992,1264921,0,1264921
9773624,0.3,1000,59,False,80000,MOST_VISITED,0.9992,1301061,0,1301061
9773626,0.2,1000,29,True,80000,MIN_REWARD,0.9992,1198749,0,1198749
9773628,0.3,1000,40,True,80000,MIN_REWARD,0.9992,1135593,0,1135593
9773630,0.2,1000,27,True,80000,MOST_VISITED,0.9992,1171843,0,1171843
9773632,0.3,1000,30,True,80000,MOST_VISITED,0.9992,1151922,0,1151922
9773634,0.2,2000,68,False,80000,MIN_REWARD,0.9998,1321766,0,1321766
9773636,0.3,2000,130,False,80000,MIN_REWARD,0.9998,1254575,0,1254575
9773638,0.2,2000,77,False,80000,MOST_VISITED,0.9998,1388618,0,1388618
9773640,0.3,2000,109,False,80000,MOST_VISITED,0.9998,1291624,0,1291624
9773642,0.2,2000,58,True,80000,MIN_REWARD,0.9998,1255505,0,1255505
