simulation_number,port,price,fuel_amount,refuel_amount,speed,fuel_cost,total_cost
802070100,0,1000,0.0,45,1,,
802070100,1,1200,15.0,28,1,,
802070100,2,600.0,18.0,94,1,,
802070100,3,1031.25,82.0,34,1,,
802070100,4,703.125,91.0,8,1,,
802070100,5,878.90625,66.0,84,1,,
802070100,6,1054.6875,105.0,0,1,,
802070100,7,659.1796875,83.0,28,1,,
802070100,8,692.138671875,46.0,89,1,,
802070100,9,556.182861328125,35.0,16,1,,
802070100,,,,,,377971.923828125,1400.0
802070101,0,1000,0.0,67,1,,
802070101,1,1200,37.0,16,1,,
802070101,2,600.0,28.0,26,1,,
802070101,3,1031.25,24.0,18,1,,
802070101,4,1171.875,17.0,76,1,,
802070101,5,878.90625,60.0,6,1,,
802070101,6,1318.359375,21.0,55,1,,
802070101,7,1373.291015625,54.0,75,1,,
802070101,8,1922.607421875,64.0,67,1,,
802070101,9,2059.9365234375,31.0,17,1,,
802070101,,,,,,594538.6474609375,1400.0
802070102,0,1000,0.0,104,1,,
802070102,1,1200,74.0,16,1,,
802070102,2,800,65.0,72,1,,
802070102,3,1375.0,107.0,3,1,,
802070102,4,1562.5,85.0,0,1,,
802070102,5,1562.5,52.0,56,1,,
802070102,6,2343.75,63.0,87,1,,
802070102,7,1953.125,128.0,12,1,,
802070102,8,2734.375,75.0,53,1,,
802070102,9,3662.109375,28.0,17,1,,
802070102,,,,,,745446.484375,1400.0
196860100,0,1000,0.0,33,1,,
196860100,1,1200,3.0,31,1,,
196860100,2,600.0,9.0,70,1,,
196860100,3,1031.25,49.0,50,1,,
196860100,4,703.125,74.0,5,1,,
196860100,5,878.90625,46.0,66,1,,
196860100,6,1054.6875,67.0,5,1,,
196860100,7,659.1796875,50.0,21,1,,
196860100,8,692.138671875,6.0,123,1,,
196860100,9,556.182861328125,29.0,17,1,,
196860100,,,,,,379490.3137207031,1400.0
196860101,0,1000,0.0,48,1,,
196860101,1,1200,18.0,18,1,,
196860101,2,600.0,11.0,59,1,,
196860101,3,1031.25,40.0,39,1,,
196860101,4,1171.875,54.0,34,1,,
196860101,5,878.90625,55.0,6,1,,
196860101,6,1318.359375,16.0,105,1,,
196860101,7,1373.291015625,99.0,36,1,,
196860101,8,1922.607421875,70.0,62,1,,
196860101,9,2059.9365234375,32.0,16,1,,
196860101,,,,,,570862.79296875,1400.0
196860102,0,1000,0.0,53,1,,
196860102,1,1200,23.0,54,1,,
196860102,2,800,52.0,70,1,,
196860102,3,1375.0,92.0,53,1,,
196860102,4,1562.5,120.0,2,1,,
