Simulation number;DPW_ALPHA;DPW_EXPLORATION;MAX_ITERATION;run_time;EARLY_STOP;FORCE_0_FUEL;ALGORITHM;EXPLORATION_CONSTANT;OPTIMAL_ACTION_POLICY;EXP_CONST_DECAY;Average_Cost;Total_Time_Penalty_Cost;Total_Fuel_Cost
3793452;0.3;3;2000;1.852.570.152.282.710;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;111389;0;111389
3793388;0.3;3;2000;21.857.264.518.737.700;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.9998;111765;0;111765
3793468;0.3;3;1000;8.113.492.012.023.920;True;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.9998;111818;0;111818
3793444;0.3;3;1000;8.135.903.358.459.470;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;112267;0;112267
3793380;0.3;3;1000;1.090.903.902.053.830;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;112272;0;112272
3793466;0.2;3;1000;5.949.979.543.685.910;True;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.9998;112309;0;112309
3793424;0.3;3;2000;2.438.740.062.713.620;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;112432;0;112432
3793384;0.3;3;2000;2.470.976.209.640.500;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;112639;0;112639
3793396;0.3;3;2000;29.169.004.678.726.100;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;112684;0;112684
3460101;0.3;3;100;411.751.914.024.353;True;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;112737;0;112737
3793420;0.3;3;2000;25.054.535.627.365.100;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;112897;0;112897
3793368;0.3;3;1000;12.121.344.566.345.200;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;112984;0;112984
3793366;0.2;3;1000;8.555.449.485.778.800;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;113221;0;113221
3793492;0.3;3;2000;17.253.257.751.464.800;True;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;113286;0;113286
3793304;0.3;3;1000;7.904.552.698.135.370;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;113317;0;113317
3793472;0.3;3;1000;8.115.432.024.002.070;True;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.995;113384;0;113384
3793446;0.2;3;2000;13.025.862.693.786.600;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;113624;0;113624
3793462;0.2;3;1000;5.860.301.971.435.540;True;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;113745;0;113745
3793440;0.3;3;1000;8.828.188.419.342.040;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;113809;0;113809
3793356;0.3;3;2000;4.016.089.415.550.230;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;113938;0;113938
3793460;0.3;3;2000;1.826.146.626.472.470;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;113952;0;113952
3793362;0.2;3;2000;17.396.636.247.634.800;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;113986;0;113986
3793326;0.2;3;2000;12.062.292.337.417.600;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;114034;0;114034
3793336;0.3;3;1000;8.208.459.854.125.970;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;114040;0;114040
3793448;0.3;3;2000;1.767.790.126.800.530;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;114041;0;114041
3793374;0.2;3;1000;7.970.888.376.235.960;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.995;114066;0;114066
3793454;0.2;3;2000;14.318.572.044.372.500;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;114155;0;114155
3793416;0.3;3;2000;3.243.406.367.301.940;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;114190;0;114190
3793480;0.3;3;2000;1.831.686.305.999.750;True;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;114220;0;114220
3793432;0.3;3;1000;90.948.965.549.469;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;114226;0;114226
3793398;0.2;3;1000;1.061.703.872.680.660;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;114256;0;114256
3793456;0.3;3;2000;199.773.850.440.979;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;114417;0;114417
